code,year,gender,e0
GBRTENW,1844,total,41.49
GBRTENW,1845,total,42.49
GBRTENW,1846,total,39.91
GBRTENW,1847,total,38.29
GBRTENW,1848,total,39.46
GBRTENW,1849,total,37.34
GBRTENW,1850,total,42.75
GBRTENW,1851,total,41.36
GBRTENW,1852,total,40.87
GBRTENW,1853,total,40.51
GBRTENW,1854,total,39.3
GBRTENW,1855,total,40.99
GBRTENW,1856,total,43.21
GBRTENW,1857,total,41.84
GBRTENW,1858,total,39.99
GBRTENW,1859,total,40.77
GBRTENW,1860,total,42.94
GBRTENW,1861,total,42.31
GBRTENW,1862,total,42.47
GBRTENW,1863,total,40.36
GBRTENW,1864,total,39.93
GBRTENW,1865,total,40.62
GBRTENW,1866,total,40.38
GBRTENW,1867,total,42.58
GBRTENW,1868,total,41.97
GBRTENW,1869,total,41.62
GBRTENW,1870,total,40.91
GBRTENW,1871,total,41.28
GBRTENW,1872,total,42.87
GBRTENW,1873,total,43.74
GBRTENW,1874,total,42.07
GBRTENW,1875,total,41.81
GBRTENW,1876,total,43.65
GBRTENW,1877,total,44.67
GBRTENW,1878,total,42.98
GBRTENW,1879,total,44.22
GBRTENW,1880,total,43.73
GBRTENW,1881,total,46.08
GBRTENW,1882,total,44.83
GBRTENW,1883,total,45.05
GBRTENW,1884,total,44.74
GBRTENW,1885,total,45.72
GBRTENW,1886,total,45.29
GBRTENW,1887,total,45.62
GBRTENW,1888,total,46.78
GBRTENW,1889,total,46.31
GBRTENW,1890,total,44.72
GBRTENW,1891,total,44.24
GBRTENW,1892,total,45.46
GBRTENW,1893,total,44.83
GBRTENW,1894,total,48.3
GBRTENW,1895,total,45.69
GBRTENW,1896,total,47.37
GBRTENW,1897,total,47.19
GBRTENW,1898,total,46.96
GBRTENW,1899,total,46.12
GBRTENW,1900,total,46.3
GBRTENW,1901,total,47.89
GBRTENW,1902,total,49.05
GBRTENW,1903,total,50.39
GBRTENW,1904,total,49.09
GBRTENW,1905,total,50.83
GBRTENW,1906,total,50.56
GBRTENW,1907,total,51.41
GBRTENW,1908,total,51.81
GBRTENW,1909,total,52.48
GBRTENW,1910,total,53.95
GBRTENW,1911,total,51.51
GBRTENW,1912,total,54.51
GBRTENW,1913,total,53.79
GBRTENW,1914,total,52
GBRTENW,1915,total,48.3
GBRTENW,1916,total,48
GBRTENW,1917,total,46
GBRTENW,1918,total,40.9
GBRTENW,1919,total,54.08
GBRTENW,1920,total,56.52
GBRTENW,1921,total,58.24
